"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12";"C_Disc_D8.0mm_W2.5mm_P5.00mm";1;"390n";;;
2;"J1";"BarrelJack_Horizontal";1;"DCJ0303";;;
3;"D1";"D_SMA";1;"1N4004";;;
4;"C2,C1";"CP_Radial_D10.0mm_P5.00mm";2;"1200u";;;
5;"R8,R4,R9,R6,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"100k";;;
6;"IC1";"TO-220-11_P3.4x5.08mm_StaggerOdd_Lead4.85mm_Vertical";1;"LM18201";;;
7;"C11,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10n";;;
8;"TP1,TP3,TP2";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";3;"TestPoint_Small";;;
9;"RV1";"Potentiometer_Piher_PT-10-V05_Vertical";1;"1k";;;
10;"F1";"Fuse_Bourns_MF-SM_7.98x5.44mm";1;"Fuse";;;
11;"TP_GND";"TestPoint_Loop_D2.50mm_Drill1.0mm";1;"TestPoint_Small";;;
12;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"CurrentSense";;;
13;"C9,C4,C5,C8,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100n";;;
14;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2k";;;
15;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"68k";;;
16;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
17;"U2";"SOT-23-6_Handsoldering";1;"LTC6990CS6TRPBF";;;
18;"C6,C3";"CP_Radial_D5.0mm_P2.00mm";2;"100u";;;
19;"U1";"SOT-223-3_TabPin2";1;"LM2936-5.0";;;
20;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"910k";;;
21;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0";;;
